acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
12,C_12,I,A,USD,false,1,0,1000000,91636.97,,bank,Jaime,Medina,34855 Meghan Squares,Josephmouth,SC,US,57575,Male,1936-03-31,385-76-4769,-175.223413,-52.8332455
13,C_13,I,A,USD,false,1,0,1000000,56813.71,,bank,John,Allen,5159 Blake Estates Apt. 945,Haysberg,LA,US,15560,Male,1914-07-12,316-23-8570,-141.955780,-8.752464
14,C_14,I,A,USD,false,1,0,1000000,57618.39,,bank,Michael,Moore,6118 Wells Ville Suite 171,Simmonsport,MA,US,96806,Male,1930-08-18,642-73-6154,162.995295,-66.6671135
15,C_15,I,A,USD,false,1,0,1000000,51868.40,,bank,Daniel,Miller,30601 Hawkins Highway,Morashire,VT,US,89538,Male,1937-12-03,268-75-2730,51.510024,-38.4751525
16,C_16,I,A,USD,false,1,0,1000000,93671.33,,bank,Marcus,Garcia,087 David Locks,Jaredton,AS,US,28798,Male,1970-05-08,388-47-8953,-98.752978,-61.882385
17,C_17,I,A,USD,true,1,0,1000000,64227.86,,bank,Shelly,Morrison,930 Thornton Summit,Lisaton,NC,US,19947,Female,1929-03-07,863-49-9552,-21.954682,36.2804625
18,C_18,I,A,USD,false,1,0,1000000,80872.08,,bank,Sean,Murray,013 Billy Bridge,Riveraburgh,AS,US,20007,Male,1958-07-01,518-49-8681,89.739300,-80.975734
19,C_19,I,A,USD,false,1,0,1000000,79125.51,,bank,Mary,Smith,634 Petersen Orchard,Lawsonbury,MH,US,03185,Female,1932-09-22,310-65-9344,-43.388149,-0.6953315
20,C_20,I,A,USD,false,1,0,1000000,57315.49,,bank,Michelle,Nunez,6660 Danielle Crossroad Apt. 450,South Robertfort,PW,US,79401,Female,1928-07-24,830-46-6737,-161.112995,74.220991
21,C_21,I,A,USD,false,1,0,1000000,72907.40,,bank,Taylor,Santos,17200 Crystal Cove Suite 367,North Chelseamouth,RI,US,83379,Female,2000-11-07,731-80-4856,-111.758809,14.0578475
22,C_22,I,A,USD,false,1,0,1000000,51827.72,,bank,Katelyn,Santana,306 Watson Field,Kellyland,AZ,US,05741,Female,1978-09-28,683-73-9369,-64.046951,-28.352392
23,C_23,I,A,USD,false,1,0,1000000,72102.82,,bank,Jeffrey,Butler,412 Snow Manors Apt. 161,South Kimtown,WY,US,59053,Male,1975-07-21,885-42-4139,-137.834941,4.624310
24,C_24,I,A,USD,false,1,0,1000000,64251.61,,bank,Todd,Martinez,055 Alejandro Fort Suite 192,North Jamie,TX,US,96459,Male,1908-12-09,301-48-0404,144.725425,-27.491287
25,C_25,I,A,USD,true,1,0,1000000,55608.83,,bank,Mark,White,1754 Anthony Fords,Matthewport,LA,US,73010,Male,1918-12-17,106-69-9517,-14.771265,-48.0158735
26,C_26,I,A,USD,false,1,0,1000000,97064.52,,bank,Michaela,Anderson,35833 Kelly Manor,Port Davidtown,MO,US,10714,Female,1948-09-15,564-54-2332,137.331791,23.330428
27,C_27,I,A,USD,false,1,0,1000000,66791.10,,bank,Donald,Grant,37580 Ortiz Mall Suite 735,Stephanieland,HI,US,14737,Male,2001-08-16,158-90-7310,34.091723,-40.2372505
28,C_28,I,A,USD,false,1,0,1000000,60246.95,,bank,Edwin,Mack,37582 Ford Route Apt. 734,Port Hollymouth,AL,US,29170,Male,1993-07-22,309-70-9981,-96.129431,23.8727555
29,C_29,I,A,USD,false,1,0,1000000,58594.00,,bank,Shelby,Chambers,73864 David Skyway Apt. 046,Wallaceview,MI,US,37646,Female,1934-08-22,610-11-0581,-142.174403,-19.5392385
30,C_30,I,A,USD,false,1,0,1000000,69802.19,,bank,Jacqueline,Fuller,83216 Campbell Dale Apt. 816,Figueroaview,LA,US,58482,Female,1929-05-03,127-90-1975,24.777467,17.700744
31,C_31,I,A,USD,true,1,0,1000000,81178.05,,bank,Brenda,Simpson,457 Robinson Overpass,Trevorton,NV,US,39846,Female,1992-07-01,221-04-5823,73.150133,14.949148
32,C_32,I,A,USD,false,1,0,1000000,55758.74,,bank,Charles,Berry,116 Michael Crescent,West Morganport,VA,US,30213,Male,1933-12-25,108-56-7552,-2.727496,13.114153
33,C_33,I,A,USD,false,1,0,1000000,50410.28,,bank,Daniel,Gonzalez,627 Alexandria Curve Apt. 275,Simmonsfort,MS,US,96155,Male,1935-10-06,601-91-0816,28.492529,-81.066671
34,C_34,I,A,USD,false,1,0,1000000,50961.56,,bank,Amy,Terry,50239 Salazar Squares,Kelseystad,MT,US,60570,Female,1998-07-21,665-71-7056,131.900598,32.0313925
35,C_35,I,A,USD,false,1,0,1000000,72742.25,,bank,Jesse,Morgan,54000 Michael Highway Apt. 216,New Randy,VI,US,29464,Male,1921-11-21,621-11-5227,-6.628825,53.8548715
36,C_36,I,A,USD,false,1,0,1000000,79618.22,,bank,Hailey,Marquez,0803 Miller Ways Suite 334,Larryfurt,KS,US,63688,Female,1914-01-07,314-71-1186,-175.056245,33.730239
37,C_37,I,A,USD,true,1,0,1000000,92634.76,,bank,David,Robinson,67771 Christopher Courts Apt. 637,Port Ronaldfurt,AZ,US,24144,Male,2022-05-07,892-36-5769,-8.417671,26.7274635
38,C_38,I,A,USD,false,1,0,1000000,69160.12,,bank,Jason,Robinson,834 Palmer Mountain Suite 430,New Kristenville,HI,US,96561,Male,2008-02-21,676-01-8775,96.640487,24.962750
39,C_39,I,A,USD,false,1,0,1000000,65530.67,,bank,Eric,Murphy,4195 Emily Squares,Jeffreybury,CA,US,68416,Male,1958-10-02,644-62-4700,132.491298,-43.994894
40,C_40,I,A,USD,false,1,0,1000000,84454.09,,bank,Chad,Clark,855 Lisa Wells,Mooreburgh,NY,US,10522,Male,2013-05-30,509-73-3498,-53.665758,-54.531998
41,C_41,I,A,USD,false,1,0,1000000,96018.30,,bank,Robert,Mclaughlin,9927 Christina Burg Suite 774,East Angelaburgh,TN,US,65342,Male,1982-04-11,322-91-1291,-40.865448,-53.1050825
42,C_42,I,A,USD,false,1,0,1000000,53800.42,,bank,Matthew,Perez,4603 Leslie Summit,West Michelle,TN,US,95632,Male,1954-10-20,688-21-4996,-170.885800,5.659097
43,C_43,I,A,USD,false,1,0,1000000,85009.58,,bank,Austin,Brown,250 Burton Burg,North Alexander,SD,US,43318,Male,1998-04-30,433-18-3548,61.037241,26.826649
44,C_44,I,A,USD,false,1,0,1000000,84445.86,,bank,Charles,Melton,56606 Ferguson Unions Suite 091,Finleyburgh,AL,US,66109,Male,1977-11-27,861-94-2428,-137.239617,-1.4026065
45,C_45,I,A,USD,false,1,0,1000000,79262.54,,bank,Andrew,Peterson,02821 Pennington Rapid,New Courtneyberg,RI,US,79402,Male,2008-05-27,751-49-0447,155.954579,-80.251485
46,C_46,I,A,USD,false,1,0,1000000,71375.57,,bank,Krista,Madden,2738 Martin Terrace Suite 547,Smithhaven,PR,US,38279,Female,2013-02-25,545-74-9046,-39.100063,-79.7186935
47,C_47,I,A,USD,false,1,0,1000000,76250.72,,bank,Zachary,Gill,5700 Singh Bypass,Erinshire,UT,US,38482,Male,2011-10-01,542-67-5576,27.270695,-22.7210085
48,C_48,I,A,USD,true,1,0,1000000,57170.41,,bank,Frank,Patton,98522 Mathis Viaduct Apt. 909,West Michael,SC,US,38960,Male,1989-09-19,442-22-0017,-104.430728,62.6331415
49,C_49,I,A,USD,true,1,0,1000000,93804.23,,bank,Amy,Fowler,0749 Chad Manors,Stephanieburgh,NC,US,22764,Female,1986-11-09,113-65-8904,144.831420,13.266782
50,C_50,I,A,USD,true,1,0,1000000,92535.32,,bank,Richard,Miles,4064 Medina Plaza Suite 536,Port Adam,NY,US,20860,Male,2014-04-29,577-50-5914,69.178202,-80.2372265
51,C_51,I,A,USD,false,1,0,1000000,54422.79,,bank,Theresa,House,930 Rice Estate Apt. 570,New Patricia,KY,US,24767,Female,1918-07-26,587-58-3879,61.406191,46.6065415
52,C_52,I,A,USD,false,1,0,1000000,56440.47,,bank,Lauren,Gomez,514 Travis Track Suite 366,Rowefurt,UT,US,05536,Female,1985-05-16,130-73-4561,-3.844152,-83.476675
53,C_53,I,A,USD,false,1,0,1000000,65675.70,,bank,Taylor,Joyce,19550 James Creek,Williamstown,MD,US,51966,Male,2012-01-16,651-36-6659,-103.693490,69.8971105
54,C_54,I,A,USD,false,1,0,1000000,82923.40,,bank,Robert,Miller,022 Renee Squares Apt. 808,Herringstad,AS,US,77293,Male,1931-09-13,833-34-3304,-39.895752,-1.9697705
55,C_55,I,A,USD,false,1,0,1000000,93658.48,,bank,Robert,Boyd,8727 Benjamin Prairie Apt. 805,East Deborahmouth,RI,US,31790,Male,2004-07-11,342-84-2210,75.811232,59.2286655
56,C_56,I,A,USD,true,1,0,1000000,62756.38,,bank,William,Hensley,501 Ronald Knoll,Rogersfurt,NY,US,47956,Male,1924-02-19,140-41-0373,-81.967761,-56.4187505
57,C_57,I,A,USD,false,1,0,1000000,80526.34,,bank,Nicole,Chambers,60460 Michael Village,South Brianstad,PA,US,81783,Female,1984-07-19,870-59-6754,-83.005530,-81.762098
58,C_58,I,A,USD,false,1,0,1000000,79873.66,,bank,Scott,Nichols,61511 Michael Fall Suite 905,Gibbsfort,NJ,US,11045,Male,1962-08-31,810-34-0456,167.890933,48.4764645
59,C_59,I,A,USD,false,1,0,1000000,74984.19,,bank,Christopher,Kelley,5170 Regina Road,Susantown,MS,US,44762,Male,1927-12-14,165-23-2605,163.661827,-24.8825485
60,C_60,I,A,USD,false,1,0,1000000,99685.71,,bank,Krystal,Smith,34523 Perez Wells,Fordshire,DC,US,51161,Female,1987-05-25,006-88-6389,-87.678450,-50.0356465
61,C_61,I,A,USD,false,1,0,1000000,73304.50,,bank,Thomas,Cox,000 Ashley Drive Apt. 606,Bradleymouth,VT,US,33001,Male,1937-06-13,547-52-1197,-110.315429,19.456834
62,C_62,I,A,USD,false,1,0,1000000,96725.21,,bank,Alison,Carr,66376 Sabrina Garden Suite 691,Whitneyhaven,MN,US,71586,Female,1972-07-19,898-31-4527,-158.361904,74.005087
63,C_63,I,A,USD,false,1,0,1000000,80468.71,,bank,Kara,Moore,180 Jennifer Burg Suite 661,Munozburgh,GA,US,45130,Female,1946-07-29,781-65-1844,17.720148,2.723188
64,C_64,I,A,USD,false,1,0,1000000,56116.29,,bank,Nicholas,Reed,8034 Jennifer Islands Suite 604,Johnsonchester,KY,US,49674,Male,1925-12-12,113-79-5849,-91.009336,-81.6178835
65,C_65,I,A,USD,false,1,0,1000000,59326.21,,bank,Nancy,Moran,1168 Gary Fords Apt. 308,Port Trevor,PR,US,82204,Female,1953-07-30,701-16-6699,-39.464104,-47.5013815
66,C_66,I,A,USD,false,1,0,1000000,98868.98,,bank,Melinda,Moore,268 Young Lane Suite 678,Tamichester,FM,US,13308,Female,1908-08-18,598-77-8473,-122.654707,83.7732945
67,C_67,I,A,USD,true,1,0,1000000,80987.65,,bank,Michael,Estrada,9261 Alex Lake,Floresmouth,MN,US,77080,Male,2018-06-27,795-30-2606,121.530876,58.0772915
68,C_68,I,A,USD,false,1,0,1000000,73947.51,,bank,Laurie,Gillespie,202 Franklin Fords,Ericksonfurt,KS,US,03275,Female,1931-04-13,452-73-0880,21.352418,-66.7011465
69,C_69,I,A,USD,true,1,0,1000000,71381.97,,bank,Elizabeth,Lynch,3870 Harvey Grove Suite 867,Herbertside,MN,US,21412,Female,1927-07-06,468-09-1123,76.684375,15.560639
70,C_70,I,A,USD,false,1,0,1000000,89278.32,,bank,Adriana,Atkins,147 Lisa Hill Apt. 512,Port Elizabethshire,OH,US,26519,Female,1983-12-11,717-97-9859,83.252140,-61.2654545
71,C_71,I,A,USD,false,1,0,1000000,69787.47,,bank,Darrell,Richardson,74430 Kelly Pass,Christopherport,OK,US,55851,Male,1959-11-02,882-98-2384,-55.645210,-12.716698
72,C_72,I,A,USD,false,1,0,1000000,75181.62,,bank,Wendy,Delacruz,65873 Chen Knolls,Ramirezfurt,WI,US,94134,Female,1973-04-02,299-16-7308,-97.178993,2.345970
73,C_73,I,A,USD,false,1,0,1000000,86217.35,,bank,Samantha,Reynolds,7879 Emma Parkway Suite 735,North Thomasfurt,PR,US,30303,Female,1914-07-31,590-99-0663,38.239551,-64.907138
74,C_74,I,A,USD,true,1,0,1000000,74626.32,,bank,Kelly,Howell,12503 Alan Place Apt. 219,North Joyce,ID,US,00696,Female,1964-06-20,069-69-2903,-54.210645,-29.0786485
75,C_75,I,A,USD,false,1,0,1000000,52045.27,,bank,Christina,Romero,7298 Johnathan Cove Apt. 402,South Jamie,TN,US,42383,Female,1924-05-04,574-14-7777,-113.134218,46.632809
76,C_76,I,A,USD,false,1,0,1000000,77974.44,,bank,Jeremy,Ward,73576 Sergio Avenue Suite 736,West Thomas,FL,US,30419,Male,1974-02-17,614-20-8559,-132.993453,-39.639688
77,C_77,I,A,USD,false,1,0,1000000,79307.21,,bank,Carol,Williams,25059 Katie Mountain,Byrdchester,NM,US,25673,Female,2017-02-03,791-44-8535,-79.259848,-1.939347
78,C_78,I,A,USD,false,1,0,1000000,60037.35,,bank,Lisa,Guerrero,97939 Johnson Oval Suite 830,North Dennismouth,MP,US,88870,Female,1922-10-21,883-97-8450,48.453322,83.3362645
79,C_79,I,A,USD,false,1,0,1000000,67872.13,,bank,Daniel,Wilson,573 Nathan Ville Suite 767,Meghanmouth,CA,US,19714,Male,1929-02-28,404-60-8858,-67.246382,8.751045
80,C_80,I,A,USD,false,1,0,1000000,63193.95,,bank,Kimberly,Jones,3169 Fernandez Roads,Lake Derekfort,ME,US,50327,Female,1990-04-13,749-64-0251,-70.501675,22.5666445
81,C_81,I,A,USD,false,1,0,1000000,84540.09,,bank,Paul,Pennington,1039 Brianna Passage Suite 274,New Sergiobury,MS,US,50840,Male,1939-01-13,844-76-4324,-132.230743,-78.1862705
82,C_82,I,A,USD,false,1,0,1000000,50850.14,,bank,Ashley,Carter,87656 Darryl Rest Apt. 201,Wrightview,KS,US,50871,Female,1991-10-28,823-82-3106,110.832775,55.4708345
83,C_83,I,A,USD,false,1,0,1000000,55495.24,,bank,Ashley,Jones,70452 Forbes Courts,Mosesland,KS,US,75278,Female,1987-09-29,132-63-0568,99.294128,-30.033766
84,C_84,I,A,USD,false,1,0,1000000,85120.35,,bank,Daniel,Clayton,36397 Moore Stravenue,Terriside,MH,US,26819,Male,1925-06-11,284-72-0008,-135.288317,87.2444515
85,C_85,I,A,USD,false,1,0,1000000,53751.16,,bank,Joseph,Ortiz,501 Kelly Crescent Apt. 438,Michelleland,MT,US,66394,Male,1918-11-25,608-60-5311,-86.512221,-10.3909235
86,C_86,I,A,USD,false,1,0,1000000,92407.56,,bank,Kellie,Green,400 Danielle Grove Apt. 558,Brandonbury,MH,US,91244,Female,1915-08-06,805-50-6859,-29.205819,66.3444015
87,C_87,I,A,USD,false,1,0,1000000,51844.99,,bank,Sue,Horne,771 Brooks Pike Apt. 376,East Christopherville,FM,US,24437,Female,1910-01-11,772-47-8610,42.213352,-56.563659
88,C_88,I,A,USD,true,1,0,1000000,53385.03,,bank,Juan,Wright,4667 Frank Walk Suite 332,Port Kevin,FL,US,24917,Male,1911-09-02,186-30-6839,-95.794972,-24.676682
89,C_89,I,A,USD,false,1,0,1000000,55087.73,,bank,Christopher,Wagner,238 Lindsey Walks,Lake Stevenborough,AR,US,54508,Male,1936-11-17,395-69-8621,84.775253,-62.3415195
90,C_90,I,A,USD,false,1,0,1000000,76017.65,,bank,Deanna,Jones,010 Julie Mission,Tracistad,TN,US,52444,Female,2011-09-04,162-76-3976,-67.312458,-77.8275285
91,C_91,I,A,USD,false,1,0,1000000,53849.55,,bank,Alexis,Hernandez,173 Mckinney Trace,New Courtney,NY,US,38401,Female,1998-09-20,367-47-4872,89.375174,82.243571
92,C_92,I,A,USD,false,1,0,1000000,97071.59,,bank,Lindsey,Foster,73965 Turner Dam,Cardenasmouth,MI,US,84106,Female,1962-07-29,713-65-4881,123.176264,-26.852995
93,C_93,I,A,USD,false,1,0,1000000,76244.78,,bank,Cory,Scott,8282 Stark Green,Turnerhaven,AR,US,96119,Male,2002-01-21,071-03-3298,140.613752,-62.293694
94,C_94,I,A,USD,false,1,0,1000000,66816.62,,bank,Tonya,Young,29259 Smith Shoals,North Cathyburgh,GU,US,41186,Female,2019-12-31,512-95-5952,10.437815,-66.4282795
95,C_95,I,A,USD,false,1,0,1000000,77117.72,,bank,Kathleen,Hernandez,020 Gomez Fords,Gonzalezburgh,WY,US,23938,Female,1988-06-14,518-53-9615,156.871047,-29.1478725
96,C_96,I,A,USD,false,1,0,1000000,55547.34,,bank,Derrick,Brewer,052 Werner Shoals,Toddfort,PA,US,43831,Male,1970-05-21,824-97-2615,-122.192723,47.5544015
97,C_97,I,A,USD,false,1,0,1000000,61223.05,,bank,Dennis,Glover,762 Miranda Spur Apt. 912,Phillipsville,TX,US,56307,Male,1994-06-04,365-66-8783,-139.879202,-87.831856
98,C_98,I,A,USD,true,1,0,1000000,54515.85,,bank,Anthony,Gutierrez,16670 Welch Dam,Lake Philipshire,WA,US,30007,Male,1911-09-20,049-77-6544,-108.871873,60.395921
99,C_99,I,A,USD,false,1,0,1000000,56663.35,,bank,Michael,Hancock,6807 Ann Crossroad Apt. 921,Robertsview,IL,US,53341,Male,1914-12-23,537-09-0169,163.317669,-13.5879675
100,C_100,I,A,USD,false,1,0,1000000,99603.70,,bank,Jacqueline,King,215 Joy Islands,West Beth,CA,US,11791,Female,1953-02-13,699-63-7710,107.603060,51.3168015
101,C_101,I,A,USD,false,1,0,1000000,89861.24,,bank,Matthew,Wilson,6687 Stone Forges Apt. 685,North Douglas,AZ,US,50838,Male,1917-03-25,537-35-9262,-17.484919,4.5519355
102,C_102,I,A,USD,false,1,0,1000000,64232.70,,bank,Jeffrey,Montgomery,538 Jessica Tunnel Suite 580,New Chase,DE,US,48734,Male,1982-03-28,025-67-8320,-120.057862,-79.192981
103,C_103,I,A,USD,false,1,0,1000000,81251.04,,bank,John,Swanson,2547 Avila Manor,Port Deborahbury,SD,US,86285,Male,1954-10-25,700-93-2634,-156.542627,38.9126305
104,C_104,I,A,USD,false,1,0,1000000,59582.82,,bank,Veronica,Bradley,4973 Jasmine Road,New Scott,OR,US,43461,Female,1993-07-02,148-66-7038,30.153492,-26.3195415
105,C_105,I,A,USD,false,1,0,1000000,84198.65,,bank,Christopher,Bush,34389 Dunlap Freeway Suite 925,East Megan,KS,US,72641,Male,1989-02-19,118-58-7862,-70.041018,-41.273156
106,C_106,I,A,USD,false,1,0,1000000,96539.57,,bank,Alicia,Lee,187 Kelly Groves,West Megan,MD,US,96297,Female,1934-10-09,619-21-9130,66.066109,-68.2740245
107,C_107,I,A,USD,false,1,0,1000000,87215.91,,bank,James,Shah,765 Brown Crescent Apt. 524,Parkerchester,MH,US,63640,Male,1920-03-01,744-11-1495,91.726973,-85.2943775
108,C_108,I,A,USD,true,1,0,1000000,67734.78,,bank,Tyler,Ibarra,919 Andrew Turnpike Apt. 419,Mckinneyshire,RI,US,70128,Male,1945-10-04,303-21-3010,136.954610,-29.329344
109,C_109,I,A,USD,true,1,0,1000000,74947.96,,bank,Alan,Medina,7429 Harris Dale,Dicksonburgh,ID,US,77674,Male,1973-04-03,695-17-4438,-136.211079,75.8793275
110,C_110,I,A,USD,false,1,0,1000000,68115.41,,bank,Mckenzie,Bryant,302 Joy Spring Apt. 622,Ryanhaven,MD,US,29335,Female,1998-05-09,454-30-4512,-78.668051,-63.053607
111,C_111,I,A,USD,false,1,0,1000000,58406.36,,bank,Deborah,Gross,8943 Tran Circles Apt. 619,New Melissamouth,FL,US,55886,Female,1934-07-06,780-23-1122,-37.696698,28.244160
112,C_112,I,A,USD,false,1,0,1000000,58870.04,,bank,Brent,Morales,049 Black Ports,Clarkborough,MO,US,11999,Male,1976-12-04,690-60-2752,-162.668940,-35.907116
113,C_113,I,A,USD,false,1,0,1000000,80582.37,,bank,Lindsey,Pierce,661 Alicia Forge,Davisville,NY,US,17569,Female,1978-09-15,655-80-7072,142.529016,16.0045125
114,C_114,I,A,USD,false,1,0,1000000,53476.90,,bank,Charles,Chavez,790 Reed Trafficway Apt. 037,New Evelyn,FM,US,01420,Male,1920-05-26,619-36-4752,30.551570,-1.672805
115,C_115,I,A,USD,false,1,0,1000000,80839.06,,bank,Kelly,Schultz,191 Wood Road Apt. 326,Port Andrew,LA,US,19372,Female,2008-07-26,694-19-1897,92.663937,-3.7065865
116,C_116,I,A,USD,true,1,0,1000000,56849.68,,bank,Donna,Stanley,3348 Curtis Street,Fosterberg,NV,US,10607,Female,1979-08-25,193-78-8017,7.863564,-48.2996555
117,C_117,I,A,USD,false,1,0,1000000,63116.00,,bank,Brian,Sanchez,3122 Moon Plain Suite 204,Berrystad,SD,US,13414,Male,1913-10-10,031-91-9656,-133.685782,34.997729
118,C_118,I,A,USD,false,1,0,1000000,89789.29,,bank,Sean,Mata,862 Colleen Springs Apt. 730,East Jasmine,TX,US,19409,Male,2023-05-28,782-76-2906,-143.539004,-61.651620
119,C_119,I,A,USD,false,1,0,1000000,52857.58,,bank,Victoria,Delgado,794 Braun Station Apt. 270,Marvinchester,MS,US,03407,Female,1936-11-08,795-12-9709,-102.692789,-23.466348
120,C_120,I,A,USD,false,1,0,1000000,66708.35,,bank,Matthew,Nelson,5046 Jennifer Stravenue,Bradshawport,CT,US,58848,Male,2016-12-14,663-34-5019,-134.535181,8.7634545
121,C_121,I,A,USD,false,1,0,1000000,68796.08,,bank,Sara,Zimmerman,7048 Mcdonald Ville,East Mary,KY,US,14522,Female,1934-11-20,497-61-4338,96.697007,18.490419
122,C_122,I,A,USD,false,1,0,1000000,57197.95,,bank,Peggy,Anderson,2035 Erickson Wall Apt. 064,Christyborough,MA,US,54280,Female,1995-03-13,127-32-5858,73.606456,28.489189
123,C_123,I,A,USD,true,1,0,1000000,67837.81,,bank,Nathan,Henderson,6659 Valerie Point Suite 210,Penabury,MO,US,84003,Male,1999-11-14,862-38-9844,-88.507324,-9.100916
124,C_124,I,A,USD,false,1,0,1000000,57226.65,,bank,Sierra,Duncan,502 Christopher Terrace,Shaunborough,IA,US,49585,Female,1943-07-22,559-22-7369,34.921881,-86.0126135
125,C_125,I,A,USD,false,1,0,1000000,80902.66,,bank,Michael,Wallace,3481 Oneal Cove,Joybury,VI,US,15084,Male,1930-07-07,477-34-2750,56.146482,63.2612325
126,C_126,I,A,USD,false,1,0,1000000,88946.66,,bank,Wesley,Morrison,11416 Jonathan Lights Apt. 798,Jacobtown,OR,US,55672,Male,1946-07-08,356-66-5142,73.887236,78.8150735
127,C_127,I,A,USD,false,1,0,1000000,75645.35,,bank,Alex,Garcia,454 Jacob Forges Suite 505,Howellport,TX,US,32901,Male,2007-03-17,530-24-3240,28.667358,71.500087
128,C_128,I,A,USD,true,1,0,1000000,57580.28,,bank,Michael,Everett,76775 James Ford,South Victorialand,VA,US,68528,Male,1963-01-28,629-36-3406,-137.740357,24.9100465
129,C_129,I,A,USD,false,1,0,1000000,78591.84,,bank,James,Newman,503 Decker Way Suite 784,North Christopherfurt,SD,US,54569,Male,2011-08-09,656-99-3805,-27.967109,40.112257
130,C_130,I,A,USD,false,1,0,1000000,96068.50,,bank,Reginald,Thompson,67741 Veronica Fort Suite 095,East Lydia,NM,US,09561,Male,1990-02-27,033-30-2933,-174.678756,85.611875
131,C_131,I,A,USD,true,1,0,1000000,69779.89,,bank,Eric,Johnson,624 Alexander Place Apt. 272,Lake Darrylport,VA,US,40512,Male,2019-07-17,274-43-7559,-143.592750,-73.933686
132,C_132,I,A,USD,false,1,0,1000000,93782.02,,bank,Christopher,Wheeler,74836 Rodney Canyon Apt. 504,Brianton,RI,US,06150,Male,1930-12-30,482-84-1332,134.343013,-52.619566
133,C_133,I,A,USD,false,1,0,1000000,55179.15,,bank,Stacy,Fernandez,11913 Sarah Meadows,North Thomasmouth,NY,US,95807,Female,1926-10-08,876-48-6917,94.580400,-55.102993
134,C_134,I,A,USD,false,1,0,1000000,61369.04,,bank,Susan,Allen,831 Kemp Pines,Annashire,ND,US,51932,Female,2002-05-04,094-20-9912,37.482205,7.8044435
135,C_135,I,A,USD,false,1,0,1000000,51378.25,,bank,Ruth,Brennan,500 Douglas Streets Apt. 221,Navarroberg,KY,US,34677,Female,1931-05-25,673-45-5301,-72.569170,79.8648605
136,C_136,I,A,USD,false,1,0,1000000,56679.91,,bank,Andrew,Todd,45319 Michael Locks Apt. 468,Anthonymouth,IN,US,52153,Male,1981-01-21,277-21-4292,-154.941637,-18.1414305
137,C_137,I,A,USD,false,1,0,1000000,67607.88,,bank,Angela,Mitchell,604 Diana Viaduct Apt. 458,East Tylershire,RI,US,78265,Female,2002-05-20,695-06-4228,-177.213821,-81.935088
138,C_138,I,A,USD,false,1,0,1000000,93344.60,,bank,Kevin,Nixon,2639 Robin Bypass,South Nancy,TN,US,59436,Male,2019-10-31,355-47-1918,-171.034924,22.4182105
